t=2026-07-14T08:05:44-0400 lvl=info msg="no configuration paths supplied"
t=2026-07-14T08:05:44-0400 lvl=info msg="using configuration at default config path" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-14T08:05:44-0400 lvl=info msg="open config file" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-14T08:05:44-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-14T08:05:44-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=f2e45181bfb9 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=8a86af6c07a5 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=580d4e87b5f4 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=0f70cef53634 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=7471f627ad39 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=336317b4f32c l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=bb26ad281d53 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:30-0400 lvl=info msg="join connections" obj=join id=ecda97a0c21f l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:30-0400 lvl=info msg="join connections" obj=join id=b344d8660724 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:30-0400 lvl=info msg="join connections" obj=join id=9b4b0a7ff3cc l=[::1]:3000 r=152.166.159.240:54247
t=2026-07-14T08:10:32-0400 lvl=info msg="join connections" obj=join id=e1b2012d5875 l=[::1]:3000 r=152.166.159.240:54249
t=2026-07-14T08:10:33-0400 lvl=info msg="join connections" obj=join id=39bf1420dd45 l=[::1]:3000 r=181.36.78.109:60025
t=2026-07-14T08:10:33-0400 lvl=info msg="join connections" obj=join id=2e2c23357399 l=[::1]:3000 r=152.166.159.240:54251
t=2026-07-14T08:10:35-0400 lvl=info msg="join connections" obj=join id=17f083b1c94e l=[::1]:3000 r=152.166.159.240:54253
t=2026-07-14T08:10:36-0400 lvl=info msg="join connections" obj=join id=b4df9daa22cf l=[::1]:3000 r=152.166.159.240:54255
t=2026-07-14T08:10:37-0400 lvl=info msg="join connections" obj=join id=163946e9ba12 l=[::1]:3000 r=181.36.78.109:60428
t=2026-07-14T08:10:38-0400 lvl=info msg="join connections" obj=join id=b5732c0c4bf6 l=[::1]:3000 r=152.166.159.240:54257
t=2026-07-14T08:10:43-0400 lvl=info msg="join connections" obj=join id=a3478beddb97 l=[::1]:3000 r=181.36.78.109:48603
t=2026-07-14T08:10:43-0400 lvl=info msg="join connections" obj=join id=0b129961e7d0 l=[::1]:3000 r=152.166.159.240:54259
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=dea507aa0556 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=c8061fc44c32 l=[::1]:3000 r=152.166.159.240:54261
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=85869bc144b5 l=[::1]:3000 r=152.166.159.240:54243
